fruit_id,complete_name,complete_volume_ml,gt_latent_mesh_volume_ml,bbox_dx,bbox_dy,bbox_dz
00512,35.ply,23.533698,23.32646192398505,3.7421988248825073,4.1909109354019165,3.4784685373306274
00521,35.ply,23.533698,23.33386525717416,3.7457000017166138,4.179575443267822,3.479751467704773
00541,37.ply,17.393425,17.594084598391593,3.3208158016204834,3.956978440284729,3.2314000129699707
00546,37.ply,17.393425,17.5848655895113,3.318617582321167,3.9579570293426514,3.22925066947937
00551,37.ply,17.393425,17.62219758540722,3.320170760154724,3.960145354270935,3.236482858657837
00570,39.ply,17.236678,16.985236756951206,3.008482575416565,3.4786559343338013,3.3816845417022705
00572,39.ply,17.236678,17.01655134205159,3.011057734489441,3.482298254966736,3.3812038898468018
00580,39.ply,17.236678,16.98764386281455,3.0087249279022217,3.48282253742218,3.380091905593872
00594,40.ply,22.229742,21.879876721514893,3.968299627304077,4.796501636505127,2.648293972015381
00610,41.ply,30.359418,29.36342179042258,4.483289957046509,4.252427577972412,3.495179295539856
00622,42.ply,21.345432,20.788969664991534,3.8574507236480713,4.088723421096802,2.822668671607971
00623,42.ply,21.345432,20.754420304659295,3.858288526535034,4.075839042663574,2.822802186012268
00628,42.ply,21.345432,20.75183069120053,3.856196403503418,4.086845755577087,2.8208659887313843
00643,43.ply,15.922018,15.68747034625257,3.2093197107315063,3.714500665664673,3.057456374168396
00644,43.ply,15.922018,15.658906750690496,3.20870304107666,3.7106542587280273,3.056795120239258
00645,44.ply,13.930117,12.98984726483008,2.800709366798401,3.449105739593506,3.083292603492737
00662,45.ply,19.120373,18.520636889531946,3.6984734535217285,4.009816408157349,2.819080948829651
00664,45.ply,19.120373,18.502830086875274,3.702366828918457,4.005405068397522,2.8180395364761353
00668,45.ply,19.120373,18.509701136803596,3.7142914533615112,4.026943922042847,2.8086336851119995
00670,45.ply,19.120373,18.54512843849399,3.705078959465027,4.027246594429016,2.8168816566467285
00673,45.ply,19.120373,18.55571982535067,3.722665309906006,4.026544451713562,2.8119925260543823
00674,45.ply,19.120373,18.602236506294823,3.714104413986206,4.0278160572052,2.819126009941101
