source,fruit_id,complete_volume_ml,mesh_volume_ml,volume_head_ml,latent_norm,pc1_within_source,pc2_within_source
complete_optimized_val,00257,16.835905,16.260606289881945,nan,1.5597609,0.25984916,0.7195934
complete_optimized_val,00269,16.835905,16.321093353707184,nan,1.5695938,0.26828927,0.73605573
complete_optimized_val,00271,20.16988,20.014843430149064,nan,1.2192526,-0.030960456,0.062063828
complete_optimized_val,00273,20.16988,20.064312889081357,nan,1.2156371,-0.024803452,0.048650645
complete_optimized_val,00274,20.16988,20.040401930382725,nan,1.214192,-0.039977305,0.04934833
complete_optimized_val,00276,20.16988,20.018280812597535,nan,1.2107753,-0.038079955,0.05182567
complete_optimized_val,00322,21.090828,21.26659738485229,nan,1.2597858,-0.12752518,-0.13355723
complete_optimized_val,00323,21.090828,21.25388814039448,nan,1.2612495,-0.14125547,-0.13149692
complete_optimized_val,00332,19.583959,19.430973277782677,nan,1.375719,0.15038416,-0.33446985
complete_optimized_val,00363,22.747821,22.25022002535396,nan,1.2942063,-0.39636934,0.004782971
complete_optimized_val,00388,23.799649,23.02496969755294,nan,1.4303354,-0.7639714,-0.28330815
complete_optimized_val,00390,18.03205,17.75057745953859,nan,2.1361885,1.0451672,-1.4219275
complete_optimized_val,00394,18.03205,17.72720423391668,nan,2.1334124,1.0540512,-1.4323652
complete_optimized_val,00405,17.249897,16.988548015256157,nan,1.6925898,0.8965755,0.29627046
complete_optimized_val,00408,17.249897,17.00441651693365,nan,1.69193,0.8996182,0.2826315
complete_optimized_val,00410,17.249897,17.031958006049887,nan,1.695678,0.8954328,0.31845057
complete_optimized_val,00438,23.666883,22.899017148033725,nan,1.3093879,-0.7683364,0.026093915
complete_optimized_val,00445,23.666883,22.94192924654412,nan,1.3131518,-0.7611489,0.05251603
complete_optimized_val,00469,27.777835,27.160222049521078,nan,1.7601863,-1.0407465,-0.5876908
complete_optimized_val,00473,27.777835,27.242509282240267,nan,1.7330018,-1.0229399,-0.56024504
complete_optimized_val,00479,27.777835,27.24607133527238,nan,1.7261257,-1.012323,-0.5601877
complete_optimized_val,00505,28.819735,27.738235420492543,nan,1.3267721,-0.62482095,-0.16775012
complete_optimized_val,00511,23.533698,23.30439501400179,nan,1.2905545,-0.34233835,-0.28796995
complete_optimized_val,00512,23.533698,23.32646192398505,nan,1.2917893,-0.33366275,-0.29779384
complete_optimized_val,00521,23.533698,23.33386525717416,nan,1.283365,-0.3275313,-0.2873895
complete_optimized_val,00541,17.393425,17.594084598391593,nan,1.4316517,0.10374229,0.32313702
complete_optimized_val,00546,17.393425,17.5848655895113,nan,1.4318122,0.104230724,0.32520705
complete_optimized_val,00551,17.393425,17.62219758540722,nan,1.4336983,0.105375335,0.3303375
complete_optimized_val,00570,17.236678,16.985236756951206,nan,1.4557298,0.47151658,0.38429165
complete_optimized_val,00572,17.236678,17.01655134205159,nan,1.4445703,0.45041674,0.37290603
complete_optimized_val,00580,17.236678,16.98764386281455,nan,1.4556128,0.47641775,0.36806592
complete_optimized_val,00594,22.229742,21.879876721514893,nan,1.2567397,-0.52287686,-0.29333764
complete_optimized_val,00610,30.359418,29.36342179042258,nan,1.6020344,-1.0688514,-0.18647349
complete_optimized_val,00622,21.345432,20.788969664991534,nan,1.6833255,0.8160919,-0.5816152
complete_optimized_val,00623,21.345432,20.754420304659295,nan,1.6818573,0.8245189,-0.56721944
complete_optimized_val,00628,21.345432,20.75183069120053,nan,1.6743608,0.7914498,-0.59914404
complete_optimized_val,00643,15.922018,15.68747034625257,nan,1.9636145,1.2339056,0.51452327
complete_optimized_val,00644,15.922018,15.658906750690496,nan,1.9713025,1.2378937,0.53666466
complete_optimized_val,00645,13.930117,12.98984726483008,nan,1.4876941,0.6795403,0.3900414
complete_optimized_val,00662,19.120373,18.520636889531946,nan,1.527659,-0.6793951,0.28477466
complete_optimized_val,00664,19.120373,18.502830086875274,nan,1.5397166,-0.6870959,0.2782644
complete_optimized_val,00668,19.120373,18.509701136803596,nan,1.5417721,-0.6969017,0.2760086
complete_optimized_val,00670,19.120373,18.54512843849399,nan,1.5345613,-0.6834191,0.27410862
complete_optimized_val,00673,19.120373,18.55571982535067,nan,1.53495,-0.694351,0.26935846
complete_optimized_val,00674,19.120373,18.602236506294823,nan,1.5287249,-0.66749036,0.27726716
