frame_id,source_path,pred_volume_ml,mesh_volume_ml,reference_volume_ml,latent_path,mesh_path,inference_time_ms
00000,/home/tianqi/corepp2/data/20260416/pointcloud/00000.ply,,25.033522,26.676863,/home/tianqi/corepp2/unseen_output/latents/00000.pth,/home/tianqi/corepp2/unseen_output/meshes/00000.ply,32.019
00001,/home/tianqi/corepp2/data/20260416/pointcloud/00001.ply,,24.834511,25.451603,/home/tianqi/corepp2/unseen_output/latents/00001.pth,/home/tianqi/corepp2/unseen_output/meshes/00001.ply,30.929
00002,/home/tianqi/corepp2/data/20260416/pointcloud/00002.ply,,24.955917,26.283129,/home/tianqi/corepp2/unseen_output/latents/00002.pth,/home/tianqi/corepp2/unseen_output/meshes/00002.ply,31.63
00003,/home/tianqi/corepp2/data/20260416/pointcloud/00003.ply,,25.019128,25.405944,/home/tianqi/corepp2/unseen_output/latents/00003.pth,/home/tianqi/corepp2/unseen_output/meshes/00003.ply,32.349
00004,/home/tianqi/corepp2/data/20260416/pointcloud/00004.ply,,26.663348,31.224474,/home/tianqi/corepp2/unseen_output/latents/00004.pth,/home/tianqi/corepp2/unseen_output/meshes/00004.ply,32.992
00005,/home/tianqi/corepp2/data/20260416/pointcloud/00005.ply,,26.661359,30.503681,/home/tianqi/corepp2/unseen_output/latents/00005.pth,/home/tianqi/corepp2/unseen_output/meshes/00005.ply,31.372
00006,/home/tianqi/corepp2/data/20260416/pointcloud/00006.ply,,25.126374,26.963936,/home/tianqi/corepp2/unseen_output/latents/00006.pth,/home/tianqi/corepp2/unseen_output/meshes/00006.ply,30.699
00007,/home/tianqi/corepp2/data/20260416/pointcloud/00007.ply,,25.695131,28.316862,/home/tianqi/corepp2/unseen_output/latents/00007.pth,/home/tianqi/corepp2/unseen_output/meshes/00007.ply,31.229
00008,/home/tianqi/corepp2/data/20260416/pointcloud/00008.ply,,27.062773,31.050317,/home/tianqi/corepp2/unseen_output/latents/00008.pth,/home/tianqi/corepp2/unseen_output/meshes/00008.ply,32.153
00009,/home/tianqi/corepp2/data/20260416/pointcloud/00009.ply,,26.23643,30.216268,/home/tianqi/corepp2/unseen_output/latents/00009.pth,/home/tianqi/corepp2/unseen_output/meshes/00009.ply,31.602
00010,/home/tianqi/corepp2/data/20260416/pointcloud/00010.ply,,26.126528,29.374279,/home/tianqi/corepp2/unseen_output/latents/00010.pth,/home/tianqi/corepp2/unseen_output/meshes/00010.ply,33.226
00011,/home/tianqi/corepp2/data/20260416/pointcloud/00011.ply,,22.462475,19.838762,/home/tianqi/corepp2/unseen_output/latents/00011.pth,/home/tianqi/corepp2/unseen_output/meshes/00011.ply,29.275
00012,/home/tianqi/corepp2/data/20260416/pointcloud/00012.ply,,26.638706,30.425087,/home/tianqi/corepp2/unseen_output/latents/00012.pth,/home/tianqi/corepp2/unseen_output/meshes/00012.ply,32.668
